USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;TRAIN_TIME;TEMP1;TEMP2;TEMP3;THEORY
15;1;5;3;105;1;0;0;0;7.239;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;149.697;:~ value(cereali,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;5.837;:~ value(carne,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;4.688;:~ value(carne,V1).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;4.006;:~ value(funghi_e_tartufi,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;6.073;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;185.587;:~ value(latticini,V1).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;26.063;:~ value(funghi_e_tartufi,V1).[-V1@3, V1] :~ value(frittura,V1), category(4).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;324.866;:~ value(erbe_spezie_e_condimenti,V1).[V1@4, V1] 
15;1;5;3;105;1;0;0;0;6.237;:~ category(1).[-1@1] 
15;1;5;3;105;1;0;0;0;17.235;:~ value(stufato,V1).[-V1@4, V1] :~ value(cost,V1).[V1@3, V1] :~ value(cereali,V1).[V1@2, V1] :~ value(marinatura,V1), category(4).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;5.874;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;5.907;:~ category(2).[1@5] 
15;1;5;3;105;1;0;0;0;4.123;:~ value(cereali,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;6.042;:~ value(carne,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;5.726;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;380.365;:~ value(farinacei,V1).[-V1@2, V1] :~ value(forno,V1), category(3).[V1@3, V1] 
15;1;5;3;105;1;0;0;0;10.321;:~ category(2).[-1@5] 
15;1;5;3;105;1;0;0;0;4.128;:~ value(carne,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;5.628;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;221.618;:~ value(mantecatura,V1), category(2).[-V1@4, V1] :~ value(frittura,V1), category(2).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;4.195;:~ value(carne,V1).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;5.845;:~ value(carne,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;400.431;:~ value(difficulty,V1).[V1@1, V1] :~ value(stufato,V1), category(4).[-V1@4, V1] :~ value(uova,V1), category(3).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;5.649;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;5.688;:~ value(carne,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;4.232;:~ value(cereali,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;487.035;:~ value(mantecatura,V1).[V1@4, V1] :~ value(stufato,V1), category(3).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;7.431;:~ value(verdure_e_ortaggi,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;5.701;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;5.518;:~ value(frittura,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;4.065;:~ value(cereali,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;5.613;:~ value(frutta,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;4.182;:~ value(carne,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;3.867;:~ value(cereali,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;3.905;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;28.127;:~ value(pesce,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;3.979;:~ value(carne,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;3.825;:~ value(carne,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;17.067;:~ value(carne,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;5.874;:~ value(carne,V1).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;4.219;:~ value(carne,V1).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;131.003;:~ value(difficulty,V1).[-V1@1, V1] :~ value(carne,V1).[V1@3, V1] :~ value(rosolatura,V1), category(5).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;38.093;:~ category(4).[-1@1] 
15;1;5;3;105;1;0;0;0;6.22;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;6.069;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;5.46;:~ value(cereali,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;5.831;:~ value(frittura,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;80.831;:~ value(frittura,V1).[V1@1, V1] :~ value(uova,V1), category(3).[V1@3, V1] 
15;1;5;3;105;1;0;0;0;5.875;:~ value(carne,V1).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;5.891;:~ value(carne,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;11.376;:~ category(4).[-1@2] 
15;1;5;3;105;1;0;0;0;77.323;:~ value(verdure_e_ortaggi,V1).[-V1@4, V1] 
15;1;5;3;105;1;0;0;0;20.462;:~ value(stufato,V1).[V1@1, V1] :~ value(frutta,V1).[V1@2, V1] :~ value(mantecatura,V1), category(4).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;4.276;:~ value(carne,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;6.183;:~ value(frittura,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;4.174;:~ value(carne,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;4.052;:~ value(cereali,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;836.321;:~ value(frittura,V1), category(3).[-V1@2, V1] 
15;1;5;3;105;1;0;0;0;5.939;:~ value(cereali,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;18.763;:~ value(difficulty,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;26.959;:~ value(latticini,V1).[-V1@4, V1] 
15;1;5;3;105;1;0;0;0;5.609;:~ value(pasta,V1).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;7.507;:~ value(carne,V1).[-V1@1, V1] 
15;1;5;3;105;1;0;0;0;4.2;:~ value(carne,V1).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;5.789;:~ value(carne,V1).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;244.197;:~ value(stufato,V1).[V1@4, V1] :~ value(marinatura,V1), category(2).[-V1@5, V1] 
15;1;5;3;105;1;0;0;0;7.575;:~ value(cost,V1).[V1@5, V1] 
15;1;5;3;105;1;0;0;0;199.094;:~ value(stufato,V1).[-V1@2, V1] :~ value(latticini,V1).[-V1@1, V1] :~ value(bollitura,V1), category(3).[V1@4, V1] 
15;1;5;3;105;1;0;0;0;54.72;:~ value(cottura_a_fiamma,V1), category(1).[V1@4, V1] :~ value(bollitura,V1), category(1).[V1@1, V1] 
15;1;5;3;105;1;0;0;0;687.499;:~ value(rosolatura,V1).[V1@2, V1] 
3;1;5;3;105;1;0;0;0;6.542;:~ category(1).[1@1] 
3;1;5;3;105;1;0;0;0;82.412;:~ value(latticini,V1).[V1@4, V1] 
3;1;5;3;105;1;0;0;0;6079.3;:~ value(stufato,V1).[V1@1, V1] :~ value(mantecatura,V1).[-V1@3, V1] :~ value(funghi_e_tartufi,V1).[V1@2, V1] :~ value(pasta,V1).[V1@4, V1] 
3;1;5;3;105;1;0;0;0;6.789;:~ category(1).[1@1] 
3;1;5;3;105;1;0;0;0;513.356;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(farinacei,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;14.12;:~ category(3).[-1@5] 
3;1;5;3;105;1;0;0;0;199.575;:~ value(rosolatura,V1).[V1@4, V1] 
3;1;5;3;105;1;0;0;0;166.268;:~ value(pesce,V1).[V1@2, V1] :~ value(mantecatura,V1).[-V1@3, V1] :~ value(bollitura,V1), category(1).[-V1@4, V1] 
3;1;5;3;105;1;0;0;0;1025.99;:~ value(cereali,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;151.29;:~ value(farinacei,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;4.073;:~ value(carne,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;9.414;:~ value(cereali,V1).[-V1@5, V1] 
3;1;5;3;105;1;0;0;0;5.961;:~ value(carne,V1).[V1@5, V1] 
3;1;5;3;105;1;0;0;0;5.627;:~ value(pasta,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;3.997;:~ value(carne,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;5.747;:~ category(2).[-1@1] 
3;1;5;3;105;1;0;0;0;379.717;:~ value(pasta,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;67.783;:~ value(stufato,V1).[V1@2, V1] :~ category(1).[-1@1] :~ value(forno,V1), category(1).[V1@4, V1] 
3;1;5;3;105;1;0;0;0;5.631;:~ category(4).[-1@5] 
3;1;5;3;105;1;0;0;0;1199.6;:~ value(prepTime,V1).[V1@5, V1] 
3;1;5;3;105;1;0;0;0;5.603;:~ category(2).[-1@1] 
3;1;5;3;105;1;0;0;0;270.733;:~ value(mantecatura,V1).[-V1@4, V1] :~ value(funghi_e_tartufi,V1).[V1@3, V1] :~ value(carne,V1).[-V1@2, V1] :~ value(frittura,V1), category(3).[V1@5, V1] 
3;1;5;3;105;1;0;0;0;5.661;:~ value(verdure_e_ortaggi,V1).[V1@5, V1] 
3;1;5;3;105;1;0;0;0;54.207;:~ value(verdure_e_ortaggi,V1).[V1@2, V1] 
3;1;5;3;105;1;0;0;0;4.003;:~ value(carne,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;124.448;:~ value(verdure_e_ortaggi,V1).[V1@2, V1] 
3;1;5;3;105;1;0;0;0;162.279;:~ value(pesce,V1).[V1@1, V1] :~ value(frittura,V1), category(3).[-V1@3, V1] 
3;1;5;3;105;1;0;0;0;5.703;:~ value(frutta,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;3803.27;:~ value(cost,V1).[V1@5, V1] :~ value(cereali,V1).[V1@1, V1] :~ value(latticini,V1).[-V1@3, V1] :~ value(mantecatura,V1).[-V1@4, V1] :~ value(marinatura,V1).[V1@2, V1] 
3;1;5;3;105;1;0;0;0;4.102;:~ value(carne,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;5343.98;:~ value(carne,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;4156.88;:~ value(stufato,V1).[-V1@3, V1] :~ value(forno,V1).[-V1@2, V1] :~ value(mantecatura,V1).[-V1@1, V1] :~ value(marinatura,V1).[V1@5, V1] 
3;1;5;3;105;1;0;0;0;351.726;:~ value(rosolatura,V1).[-V1@1, V1] :~ value(mantecatura,V1).[-V1@2, V1] :~ value(marinatura,V1), category(5).[V1@4, V1] 
3;1;5;3;105;1;0;0;0;88.108;:~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1] :~ value(mantecatura,V1).[V1@4, V1] :~ value(frittura,V1), category(4).[V1@5, V1] 
3;1;5;3;105;1;0;0;0;7107.31;:~ value(funghi_e_tartufi,V1).[V1@5, V1] :~ value(farinacei,V1).[-V1@1, V1] :~ value(forno,V1).[-V1@3, V1] :~ value(uova,V1).[-V1@2, V1] 
3;1;5;3;105;1;0;0;0;20.194;:~ value(verdure_e_ortaggi,V1).[V1@5, V1] 
3;1;5;3;105;1;0;0;0;573.852;:~ value(bollitura,V1), category(4).[-V1@3, V1] 
3;1;5;3;105;1;0;0;0;4.179;:~ value(carne,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;1250.13;:~ value(pesce,V1).[-V1@1, V1] :~ value(difficulty,V1).[V1@2, V1] :~ value(frittura,V1).[V1@3, V1] :~ value(cereali,V1).[V1@4, V1] 
3;1;5;3;105;1;0;0;0;145.344;:~ value(carne,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;4.331;:~ value(cereali,V1).[V1@5, V1] 
3;1;5;3;105;1;0;0;0;4.165;:~ value(carne,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;13.492;:~ value(prepTime,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;6.441;:~ value(prepTime,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;3338.33;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(cereali,V1).[-V1@2, V1] :~ value(uova,V1), category(3).[V1@3, V1] 
3;1;5;3;105;1;0;0;0;973.502;:~ value(cereali,V1).[V1@1, V1] :~ value(marinatura,V1).[V1@2, V1] :~ value(mantecatura,V1), category(2).[V1@3, V1] 
3;1;5;3;105;1;0;0;0;4.159;:~ value(carne,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;7.116;:~ value(prepTime,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;4.118;:~ value(carne,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;9.974;:~ value(funghi_e_tartufi,V1).[V1@1, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] 
3;1;5;3;105;1;0;0;0;352.626;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] 
3;1;5;3;105;1;0;0;0;5.678;:~ value(verdure_e_ortaggi,V1).[V1@5, V1] 
3;1;5;3;105;1;0;0;0;5.469;:~ category(2).[1@5] 
3;1;5;3;105;1;0;0;0;1176.59;:~ value(frittura,V1).[-V1@1, V1] :~ value(marinatura,V1).[-V1@2, V1] :~ value(stufato,V1), category(3).[V1@3, V1] 
3;1;5;3;105;1;0;0;0;12.985;:~ value(bollitura,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;5.48;:~ value(carne,V1).[-V1@1, V1] 
3;1;5;3;105;1;0;0;0;958.93;:~ value(mantecatura,V1), category(4).[V1@3, V1] 
3;1;5;3;105;1;0;0;0;132.513;:~ value(frittura,V1).[V1@1, V1] :~ value(cereali,V1).[-V1@4, V1] :~ value(cottura_a_fiamma,V1), category(4).[V1@5, V1] 
3;1;5;3;105;1;0;0;0;7.326;:~ value(prepTime,V1).[V1@1, V1] 
3;1;5;3;105;1;0;0;0;5.88;:~ category(1).[1@1] 
3;1;5;3;105;1;0;0;0;325.056;:~ value(stufato,V1).[-V1@3, V1] :~ value(forno,V1).[V1@4, V1] :~ value(marinatura,V1).[-V1@2, V1] :~ value(cottura_a_fiamma,V1), category(1).[V1@5, V1] 
3;1;5;3;105;1;0;0;0;2388.17;:~ value(funghi_e_tartufi,V1).[V1@3, V1] :~ value(mantecatura,V1).[V1@1, V1] :~ value(verdure_e_ortaggi,V1).[-V1@2, V1] :~ value(mantecatura,V1), category(4).[-V1@4, V1] 
